id,title,image_reference,summary,author,vidraboty_category,preparation_time,cooking_time,total_time,difficulty,reglament,vidraboty_instruction,number_of_servings,tags,slug,promote
1,Engine diagnosis,1,Engine diagnosis,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-dvigatelya.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_dvigatelya/,
2,Diagnostics before buying,2,Diagnostics before buying,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-pered-pokupkoj.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_pered_pokupkoj/,
3,Suspension diagnosis,3,Suspension diagnosis,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-podveski.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_podveski/,
4,Shock absorber replacement,4,Shock absorber replacement,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-amortizatorov.html,9,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_amortizatorov/,
5,Oil change,5,Oil change,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-masla.html,6,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_masla/,1
6,Timing belt replacement,6,Timing belt replacement,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-remnya-grm.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm/,1
7,"Timing belt replacement FORD ECOBOOST, DURATORQ",7,"Timing belt replacement FORD ECOBOOST, DURATORQ",Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-remnya-grm-ford-ecoboost-duratorq.html,,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm_ford_ecoboost_duratorq/,
8,DSG clutch replacement,8,DSG clutch replacement,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-scepleniya-dsg.html,3,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_dsg/,1
9,Replacing of clutch Power Shift DP6,9,Replacing of clutch Power Shift DP6,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-scepleniya-power-shift-dp6.html,,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_power_shift_dp6/,
10,Timing chain replacement,10,Timing chain replacement,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-cepi-grm.html,2,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_cepi_grm/,1
11,Computer diagnostics,11,Computer diagnostics,Рудольф Дизель,1,1,1,1,easy,2 red,ug-kompyuternaya-diagnostika.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/kompyuternaya_diagnostika/,
12,Webasto heater,12,Webasto heater,Рудольф Дизель,1,1,1,1,easy,2 red,ug-otopitel-webasto.html,,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/otopitel_webasto/,
13,Diesel particulate filter cleaning,13,Diesel particulate filter cleaning,Рудольф Дизель,1,1,1,1,easy,2 red,ug-promyvka-sazhevogo-filtra.html,,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/promyvka_sazhevogo_filtra/,
14,Mercedes Engine Repair 651,14,Mercedes Engine Repair 651,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-651-dvigatelya-mercedes.html,,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_651_dvigatelya_mercedes/,
15,ABS Repair,15,ABS Repair,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-abs.html,,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_abs/,
16,Engine Repair,16,Engine Repair,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-dvigatelya.html,5,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_dvigatelya/,1
17,Injector Repair,17,Injector Repair,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-inzhektora.html,,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_inzhektora/,
18,DSG 7 Transmission Repair,18,DSG 7 Transmission Repair,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-korobki-peredach-dsg-7.html,7,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_korobki_peredach_dsg_7/,1
