id,title,image,alt,author
1,Замена ремня ГРМ,zamena-remnya-grm.jpg,Замена ремня ГРМ является обязательным пунктом соответствующего технического обслуживания автомобиля,AZR
2,Замена цепи ГРМ,zamena-zepi-grm.jpg,"Замена цепи ГРМ, в отличие от ремня ГРМ редко регламентируется производителем по пробегу",AZR
3,Ремонт ходовой,remont-hodovoi-avtomobilya.jpg,"Ходовая часть автомобиля постоянно испытывает весьма значительные нагрузки , именно поэтому она наиболее подвержена износу",AZR
4,Ремонт двигателя,remont-dvigatelya-avtomobilya.jpg,Ремонт бензиновых и дизельных двигателей автомобилей с частичной или полной разборкой,AZR
5,Ремонт системы кондиционирования,remont-oblujivanie-sistemy-kondicionirovaniya-vozduha-avtomobily.jpg,"Услуги по заправке, техническому обслуживанию, диагностике и ремонту систем кондиционирования автомобилей в Харькове",AZR
6,Отопитель Webasto,otopitel-webasto-eberspaecher-v-harkove.jpg,"Продажа, установка и ремонт автономных отопителей (предпусковых подогревателей) Webasto(Вебасто) и Eberspaecher (Эбершпехер)",AZR
7,Ремонт электрики,remont-elektriki-avtomobilya.jpg,"Предоставляем все виды услуг по техническому обслуживанию, диагностике и ремонту электрооборудования автомобилей в Харькове",AZR
8,Ремонт тормозной системы,remont-tormoznoi-sistemi-avtomobilya.jpg,Диагностика и ремонт тормозной системы необходимы при обнаружении любых неисправностей в работе,AZR
9,Ремонт топливных систем,remont-toplivnyh-sistem-avtomobilya.jpg,"Услуги по техническому обслуживанию, диагностике и ремонту топливных систем",AZR
10,Ремонт МКПП,remont-mkpp-avtomobilya.jpg,"Услуги по техническому обслуживанию, диагностике и ремонту механических коробок передач",Holly Foat
11,Ремонт рулевого управления,remont-rulevogo-upravleniya-avtomobilem.jpg,"Техническое обслуживание, диагностики и ремонт рулевого управления",AZR
12,Ремонт инжектора,remont-injektora.jpg,"Техническое обслуживание, диагностики и ремонт инжектора",Megan Collins Quinlan
13,Ремонт АБС,remont-abs.jpg,"Техническое обслуживание, диагностики и ремонт ABS (АБС)",AZR
14,Замена жидкостей,zamena-ekspluatacionnyh-jidkostei-avtomobilya.jpg,"Замена моторного и трансмиссионного масел, тормозной, жидкости ГУР и остальных эксплуатационных жидкостей",AZR
15,Промывка сажевого фильтра,promyvka-sajevogo-filtra.jpg,Промывка сажевого фильтра,AZR
16,Удаление сажевого фильтра,udalenie-sazhevogo-filytra.jpg,Удаление сажевого фильтра,Megan Collins Quinlan
17,"Замена ремня ГРМ FORD ECOBOOST, DURATORQ",zamena-remnya-grm-ford-ecoboost-duratorq.jpg,"Замена ремня ГРМ FORD ECOBOOST, DURATORQ",AZR
18,Замена амортизаторов,zamena-amortizatorov.jpg,Необходимое оборудование и высококвалифицированный персонал для замены амортизаторов,AZR
19,Замена сцепления Power Shift DP6,zamena-sceplenija-Power-Shift-DP6.jpg,Выполняем замену комплекта сцепления Power Shift DP6,AZR
20,Автосервис,avtoservis-harkov.jpg,Автосервис,AZR
21,Техобслуживание,tehobslujivanie-avtomobilya.jpg,Техобслуживание,AZR
22,Капитальный ремонт,kapitalynyi-remont-avtomobilya.jpg,Капитальный ремонт,AZR
23,Вакансии,vakansii.jpg,Вакансии,AZR
24,Диагностика двигателя,diagnostika-dvigatelya-avtomobilya.jpg,Диагностика двигателя,AZR
25,Диагностика подвески,diagnostika-podveski-avtomobilya.jpg,Диагностика подвески,AZR
