id,title,image_reference,summary,author,marki_category,preparation_time,cooking_time,total_time,difficulty,reglament,marki_instruction,number_of_servings,tags,slug
51,Acura,51,Ремонт и обслуживание Acura (Акура),Генри Форд,3,6,6,6,medium,"For the pastry:,280g plain flour,140g butter,Cold water,For the filling:,1 onion,2 garlic cloves,Half a courgette,450ml soya milk,500g grated parmesan,2 eggs,200g sun dried tomatoes,100g feta",,6,51,acura
52,Audi,52,Ремонт и обслуживание Audi (Ауди),Генри Форд,4,10,10,10,medium,"6 tbsp sunflower oil, 80g vegan dark chocolate, 170g plain flour, 80g coconut flour, 1 tsp baking powder, 9 tsp cocoa powder, 100g caster sugar, 3 tbsp of maple syrup, 1/4 tsp sea salt, 1 tsp vanilla extract, 230ml unsweetened organic soya milk, 100g pecan nuts, 80g walnut halves",,10,52,audi
53,BMW,53,Ремонт и обслуживание BMW (БМВ),Генри Форд,3,17,17,17,easy,"400g wholewheat pasta, 1 onion, 2 garlic cloves, 1 pack vegetarian sausages, 400g chopped tomatoes, 50g sliced sun dried tomatoes, 1 pinch sugar, 3 tbsp red pesto, 50g cheddar cheese, Basil or mixed herbs, 100g mozzarella",,17,53,bmw
54,Ford,54,Ремонт и обслуживание Ford (Форд),Генри Форд,5,2,2,2,easy,"3 bunches watercress,3 potatoes,3 onions,2 leeks,800ml stock,5 tbsp crème fraîche",,2,54,ford
55,Honda,55,Ремонт и обслуживание Honda (Хонда),Генри Форд,2,18,18,18,easy,"225g butter or margarine,225g caster sugar,225g self-raising flour,4 eggs,1 tsp baking powder,3 tbsp of jam for the filling,Icing sugar to dust the top,Cream to serve",,18,55,honda
56,Hyundai,56,Ремонт и обслуживание Hyundai (Хюндай),Генри Форд,3,1,1,1,,"400g gluten free flour, 125ml warm water, 125ml milk, 1 sachet dried yeast, 2 tsp sugar, 1 tsp salt, 2 tbsp olive oil, 4 tbsp tomato puree, 1 garlic clove, Fresh basil, 200g mozzarella, 100g rocket, 5 slices Parma ham",,1,56,hyundai
57,Infiniti,57,Ремонт и обслуживание Infiniti (Инфинити),Генри Форд,3,9,9,9,,"400g coconut milk, 400g chicken or tofu, 1 tbsp Thai green curry paste, 1 garlic clove, 2 tsp fish sauce, 400g mushrooms, 200g green beans, Fresh coriander leaves, Jasmine rice",,9,57,infiniti
58,KIA,58,Ремонт и обслуживание KIA (КИА),Генри Форд,2,16,16,16,,"1l milk, 200g sugar, 6 egg yolks, 30g cornstarch, 1 cinnamon stick, 1 piece lemon peel",,16,58,kia
59,Lexus,59,Ремонт и обслуживание Lexus (Лексус),Генри Форд,1,15,15,15,easy,"2 red onions, 1 lemon, 2 limes, 250ml malt vinegar, 7 garlic cloves, 1 green bell pepper, 1 red bell pepper, 800g cherry tomatoes, 30 mixed chilies, Olive oil, 1 tbsp ground black pepper, 1 tbsp brown sugar",,15,59,lexus
60,Mazda,60,Ремонт и обслуживание Mazda (Мазда),Генри Форд,3,12,12,12,medium,"For the pastry:,280g plain flour,140g butter,Cold water,For the filling:,1 onion,2 garlic cloves,Half a courgette,450ml soya milk,500g grated parmesan,2 eggs,200g sun dried tomatoes,100g feta",,12,60,mazda
61,Mercedes,61,Ремонт и обслуживание Mercedes (Мерседес),Генри Форд,4,7,7,7,medium,"6 tbsp sunflower oil, 80g vegan dark chocolate, 170g plain flour, 80g coconut flour, 1 tsp baking powder, 9 tsp cocoa powder, 100g caster sugar, 3 tbsp of maple syrup, 1/4 tsp sea salt, 1 tsp vanilla extract, 230ml unsweetened organic soya milk, 100g pecan nuts, 80g walnut halves",,7,61,mercedes
62,Mitsubishi,62,Ремонт и обслуживание Mitsubishi (Митсубиши),Генри Форд,3,13,13,13,easy,"400g wholewheat pasta, 1 onion, 2 garlic cloves, 1 pack vegetarian sausages, 400g chopped tomatoes, 50g sliced sun dried tomatoes, 1 pinch sugar, 3 tbsp red pesto, 50g cheddar cheese, Basil or mixed herbs, 100g mozzarella",,13,62,mitsubishi
63,Nissan,63,Ремонт и обслуживание Nissan (Ниссан),Генри Форд,5,3,3,3,easy,"3 bunches watercress,3 potatoes,3 onions,2 leeks,800ml stock,5 tbsp crème fraîche",,3,63,nissan
64,Porsche,64,Ремонт и обслуживание Porsche (Порш),Генри Форд,2,8,8,8,easy,"225g butter or margarine,225g caster sugar,225g self-raising flour,4 eggs,1 tsp baking powder,3 tbsp of jam for the filling,Icing sugar to dust the top,Cream to serve",,8,64,porsche
65,Seat,65,Ремонт и обслуживание Seat (Сеат),Генри Форд,3,5,5,5,,"400g gluten free flour, 125ml warm water, 125ml milk, 1 sachet dried yeast, 2 tsp sugar, 1 tsp salt, 2 tbsp olive oil, 4 tbsp tomato puree, 1 garlic clove, Fresh basil, 200g mozzarella, 100g rocket, 5 slices Parma ham",,5,65,seat
66,Skoda,66,Ремонт и обслуживание Skoda (Шкода),Генри Форд,3,11,11,11,,"400g coconut milk, 400g chicken or tofu, 1 tbsp Thai green curry paste, 1 garlic clove, 2 tsp fish sauce, 400g mushrooms, 200g green beans, Fresh coriander leaves, Jasmine rice",,11,66,skoda
