id,title,image_reference,summary,author,vidraboty_category,preparation_time,cooking_time,total_time,difficulty,reglament,vidraboty_instruction,number_of_servings,tags,slug,promote,vidraboty_marki
1,Диагностика двигателя,1,Диагностика двигателя,Рудольф Дизель,,25,1,1,easy,,ug-diagnostika-dvigatelya.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_dvigatelya/,,
2,Диагностика перед покупкой,2,Диагностика перед покупкой,Рудольф Дизель,,26,1,1,easy,,ug-diagnostika-pered-pokupkoj.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_pered_pokupkoj/,,
3,Диагностика подвески,3,Диагностика подвески,Рудольф Дизель,,27,1,1,easy,,ug-diagnostika-podveski.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_podveski/,,
4,Замена амортизаторов,4,Замена амортизаторов,Рудольф Дизель,,28,1,1,easy,,ug-zamena-amortizatorov.html,9,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_amortizatorov/,,
5,Замена масла,5,Замена масла,Рудольф Дизель,,16,1,1,easy,,ug-zamena-masla.html,6,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_masla/,1,
6,Замена ремня ГРМ,6,Замена ремня ГРМ,Рудольф Дизель,,1,1,1,easy,,ug-zamena-remnya-grm.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm/,1,
7,"Замена ремня ГРМ FORD ECOBOOST, DURATORQ",7,"Замена ремня ГРМ FORD ECOBOOST, DURATORQ",Рудольф Дизель,,20,1,1,easy,,ug-zamena-remnya-grm-ford-ecoboost-duratorq.html,,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm_ford_ecoboost_duratorq/,,54
8,Замена сцепления DSG,8,Замена сцепления DSG,Рудольф Дизель,,4,1,1,easy,,ug-zamena-scepleniya-dsg.html,3,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_dsg/,1,"52,65,66,68"
9,Замена сцепления Power Shift DP6,9,Замена сцепления Power Shift DP6,Рудольф Дизель,,22,1,1,easy,,ug-zamena-scepleniya-power-shift-dp6.html,,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_power_shift_dp6/,,54
10,Замена цепи ГРМ,10,Замена цепи ГРМ,Рудольф Дизель,,3,1,1,easy,,ug-zamena-cepi-grm.html,2,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_cepi_grm/,1,
11,Компьютерная диагностика,11,Компьютерная диагностика,Рудольф Дизель,,29,1,1,easy,,ug-kompyuternaya-diagnostika.html,,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/kompyuternaya_diagnostika/,,
12,Отопитель Webasto,12,Отопитель Webasto,Рудольф Дизель,,8,1,1,easy,,ug-otopitel-webasto.html,,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/otopitel_webasto/,,
13,Промывка сажевого фильтра,13,Промывка сажевого фильтра,Рудольф Дизель,,18,1,1,easy,,ug-promyvka-sazhevogo-filtra.html,,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/promyvka_sazhevogo_filtra/,,
14,Ремонт 651 двигателя Mercedes,14,Ремонт 651 двигателя Mercedes,Рудольф Дизель,,2,1,1,easy,,ug-remont-651-dvigatelya-mercedes.html,,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_651_dvigatelya_mercedes/,,61
