id,title,image_reference,summary,author,vidraboty_category,preparation_time,cooking_time,total_time,difficulty,reglament,vidraboty_instruction,number_of_servings,tags,slug,promote
1,Діагностика двигуна,1,Діагностика двигуна,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-dvigatelya.html,1,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_dvigatelya/,TRUE
2,Діагноста перед покупкою,2,Діагноста перед покупкою,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-pered-pokupkoj.html,1,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_pered_pokupkoj/,TRUE
3,Діагноста підвіски,3,Діагноста підвіски,Рудольф Дизель,1,1,1,1,easy,2 red,ug-diagnostika-podveski.html,1,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/diagnostika_podveski/,TRUE
4,Заміна амортизаторів,4,Заміна амортизаторів,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-amortizatorov.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_amortizatorov/,TRUE
5,Заміна масла,5,Заміна масла,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-masla.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_masla/,TRUE
6,Заміна ременя ГРМ,6,Заміна ременя ГРМ,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-remnya-grm.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm/,TRUE
7,"Заміна ременя ГРМ FORD ECOBOOST, DURATORQ",7,"Заміна ременя ГРМ FORD ECOBOOST, DURATORQ",Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-remnya-grm-ford-ecoboost-duratorq.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm_ford_ecoboost_duratorq/,TRUE
8,Заміна зчеплення DSG,8,Заміна зчеплення DSG,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-scepleniya-dsg.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_dsg/,TRUE
9,Заміна зчеплення Power Shift Dp6,9,Заміна зчеплення Power Shift Dp6,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-scepleniya-power-shift-dp6.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_scepleniya_power_shift_dp6/,ON
10,Заміна ланцюгу ГРМ,10,Заміна ланцюгу ГРМ,Рудольф Дизель,1,1,1,1,easy,2 red,ug-zamena-cepi-grm.html,1,"1,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_cepi_grm/,ON
11,Комп'ютерна діагностика,11,Комп'ютерна діагностика,Рудольф Дизель,1,1,1,1,easy,2 red,ug-kompyuternaya-diagnostika.html,1,"1,2",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/kompyuternaya_diagnostika/,ON
12,Отопітель Webasto,12,Отопітель Webasto,Рудольф Дизель,1,1,1,1,easy,2 red,ug-otopitel-webasto.html,1,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/otopitel_webasto/,ON
13,Промивання фільтру сажі,13,Промивання фільтру сажі,Рудольф Дизель,1,1,1,1,easy,2 red,ug-promyvka-sazhevogo-filtra.html,1,1,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/promyvka_sazhevogo_filtra/,ON
14,Ремонт 651 двигуна Mercedes,14,Ремонт 651 двигуна Mercedes,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-651-dvigatelya-mercedes.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_651_dvigatelya_mercedes/,YES
15,Ремонт АБС,15,Ремонт АБС,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-abs.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_abs/,YES
16,Ремонт двигуна,16,Ремонт двигуна,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-dvigatelya.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_dvigatelya/,YES
17,Ремонт інжектора,17,Ремонт інжектора,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-inzhektora.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_inzhektora/,YES
18,Ремонт коробки передач DSG 7,18,Ремонт коробки передач DSG 7,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-korobki-peredach-dsg-7.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_korobki_peredach_dsg_7/,YES
19,Ремонт МКПП,19,Ремонт МКПП,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-mkpp.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_mkpp/,YES
20,Ремонт рульового управління,20,Ремонт рульового управління,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-rulevogo-upravleniya.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_rulevogo_upravleniya/,FALSE
21,Ремонт системи кондиціонування,21,Ремонт системи кондиціонування,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-sistemy-kondicionirovaniya.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_sistemy_kondicionirovaniya/,FALSE
22,Ремонт паливних систем,22,Ремонт паливних систем,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-toplivnyh-sistem.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_toplivnyh_sistem/,FALSE
23,Ремонт гальмівної системи,23,Ремонт гальмівної системи,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-tormoznoj-sistemy.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_tormoznoj_sistemy/,FALSE
24,Ремонт ходовий,24,Ремонт ходовий,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-hodovoj.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_hodovoj/,FALSE
25,Ремонт електрики,25,Ремонт електрики,Рудольф Дизель,1,1,1,1,easy,2 red,ug-remont-ehlektriki.html,1,"1,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_ehlektriki/,FALSE
